name,stage,lat,lon
Lead: (Kimco) KIMCO - Castor Place,Lead,40.0508796,-75.0648563
Lead: (Kimco) KIMCO - Centennial Shops,Lead,,
Lead: (Kimco) KIMCO - Center at Baybrook,Lead,29.5385377,-95.1360834
Lead: (Kimco) KIMCO - Center at Missouri Avenue,Lead,27.9265671,-82.7882089
Lead: (Kimco) KIMCO - Center of the Hills,Lead,30.2354782,-97.8749223
Lead: (Kimco) KIMCO - Center Square S.C.,Lead,40.1672916,-75.2871993
Lead: (Kimco) KIMCO - Centerwood Plaza,Lead,33.8881091,-118.1414346
Lead: (Kimco) KIMCO - Central Center-Shoprite,Lead,,
Lead: (Kimco) KIMCO - Central Plaza,Lead,,
Lead: (Kimco) KIMCO - Centre Court,Lead,,
Lead: (Kimco) KIMCO - Centro Arlington,Lead,38.8590844,-77.1024159
Lead: (Kimco) KIMCO - Centrum @ Crossroads,Lead,35.7545886,-78.7454732
Lead: (Kimco) KIMCO - Century South S.C.,Lead,30.1901943,-97.7735908
Lead: (Kimco) KIMCO - Charleston Commons,Lead,36.1594135,-115.0640446
Lead: (Kimco) KIMCO - Chico Crossroads,Lead,39.7233056,-121.8091195
Lead: (Kimco) KIMCO - Chino Hills Marketplace,Lead,33.9842953,-117.7134852
Lead: (Kimco) KIMCO - Christown Spectrum,Lead,33.5223035,-112.0929768
Lead: (Kimco) KIMCO - City Heights Center,Lead,32.748695,-117.0998852
Lead: (Kimco) KIMCO - Cityplace Market,Lead,32.8032286,-96.7904779
Lead: (Kimco) KIMCO - Clackamas Promenade,Lead,45.4315206,-122.57207
Lead: (Kimco) KIMCO - Clackamas Square,Lead,45.4424056,-122.5777318
Lead: (Kimco) KIMCO - Clermont Landing,Lead,28.5379201,-81.7355856
Lead: (Kimco) KIMCO - Clinton Pointe,Lead,42.5458125,-82.9030625
Lead: (Kimco) KIMCO - Clive Plaza,Lead,41.6017809,-93.7592219
Lead: (Kimco) KIMCO - Cloverdale Plaza,Lead,36.091031,-80.275314
Lead: (Kimco) KIMCO - College Park S.C. - N Las Vegas,Lead,36.195031,-115.1172888
Lead: (Kimco) KIMCO - College Park S.C. - Tempe,Lead,33.3795607,-111.9292041
Lead: (Kimco) KIMCO - Colonial Plaza,Lead,28.5491296,-81.3502144
Lead: (Kimco) KIMCO - Columbia Crossing,Lead,39.196768,-76.8141702
Lead: (Kimco) KIMCO - Columbia Crossing II S.C.,Lead,39.1975093,-76.8110767
Lead: (Kimco) KIMCO - Commerce Center East and West,Lead,40.6285101,-74.3160377
Lead: (Kimco) KIMCO - Commons at Holmdel,Lead,40.4108602,-74.1458359
Lead: (Kimco) KIMCO - Concourse Plaza,Lead,40.8252165,-73.9202784
Lead: (Kimco) KIMCO - Conroe Marketplace,Lead,30.3467209,-95.4808184
Lead: (Kimco) KIMCO - Copperfield Village,Lead,29.880992,-95.6463661
Lead: (Kimco) KIMCO - Copperwood Village,Lead,29.8757683,-95.6461821
Lead: (Kimco) KIMCO - Coral Creek Shops,Lead,26.3104347,-80.2005214
Lead: (Kimco) KIMCO - Coral Pointe S.C.,Lead,26.6191717,-81.9396971
Lead: (Kimco) KIMCO - Coral Square Promenade,Lead,26.2409035,-80.253501
